STRUCTURE_NAME,REF_AREA,Reference area,Measure,Unit of measure,Age,Domain,TIME_PERIOD
Current well-being by age,SVN,Slovenia,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2011
Current well-being by age,SVN,Slovenia,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2012
Current well-being by age,SVN,Slovenia,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2013
Current well-being by age,SVN,Slovenia,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2014
Current well-being by age,SVN,Slovenia,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2015
Current well-being by age,SVN,Slovenia,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2016
Current well-being by age,SVN,Slovenia,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2017
Current well-being by age,SVN,Slovenia,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2018
Current well-being by age,SVN,Slovenia,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2019
Current well-being by age,SVN,Slovenia,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2020
Current well-being by age,SVN,Slovenia,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2021
Current well-being by age,SVN,Slovenia,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2022
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2004
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2005
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2006
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2007
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2008
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2009
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2010
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2011
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2012
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2013
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2014
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2015
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2016
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2018
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2021
Current well-being by age,PRT,Portugal,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2022
Current well-being by age,ITA,Italy,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2004
Current well-being by age,ITA,Italy,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2005
Current well-being by age,ITA,Italy,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2006
Current well-being by age,ITA,Italy,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2007
Current well-being by age,ITA,Italy,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2008
Current well-being by age,ITA,Italy,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2009
Current well-being by age,ITA,Italy,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2010
Current well-being by age,ITA,Italy,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2011
Current well-being by age,ITA,Italy,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2012
Current well-being by age,ITA,Italy,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2013
Current well-being by age,ITA,Italy,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2014
Current well-being by age,ITA,Italy,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2015
Current well-being by age,ITA,Italy,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2016
Current well-being by age,ITA,Italy,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2017
Current well-being by age,ITA,Italy,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2018
Current well-being by age,ITA,Italy,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2019
Current well-being by age,ITA,Italy,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2020
Current well-being by age,ITA,Italy,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2021
Current well-being by age,ITA,Italy,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2022
Current well-being by age,ITA,Italy,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2023
Current well-being by age,CHL,Chile,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2011
Current well-being by age,CHL,Chile,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2012
Current well-being by age,CHL,Chile,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2013
Current well-being by age,CHL,Chile,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2014
Current well-being by age,CHL,Chile,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2015
Current well-being by age,CHL,Chile,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2016
Current well-being by age,ESP,Spain,Job strain,Percentage of employees in the same subgroup,Young,Work and job quality,2005
Current well-being by age,ESP,Spain,Job strain,Percentage of employees in the same subgroup,Young,Work and job quality,2010
Current well-being by age,ESP,Spain,Job strain,Percentage of employees in the same subgroup,Young,Work and job quality,2015
Current well-being by age,POL,Poland,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2004
Current well-being by age,POL,Poland,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2005
Current well-being by age,POL,Poland,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2006
Current well-being by age,POL,Poland,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2007
Current well-being by age,POL,Poland,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2008
Current well-being by age,POL,Poland,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2009
Current well-being by age,POL,Poland,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2010
Current well-being by age,POL,Poland,Long hours in paid work,Percentage of employees in the same subgroup,Young,Work and job quality,2011
